                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.67134,                0.40657,                0.93132,                0.79851,                0.76699,                0.80677,                0.64626,                0.79902,                 0.6694,                 1.0013,             6.0806e-05,             6.0806e-05,             6.0806e-05
                    136,                0.66515,                0.39985,                0.92655,                0.80399,                 0.7624,                 0.8078,                0.64777,                0.79919,                 0.6683,                 1.0017,             5.7334e-05,             5.7334e-05,             5.7334e-05
                    137,                0.66425,                0.39937,                0.93057,                0.76989,                0.78968,                0.80814,                0.64727,                0.79785,                0.66807,                 1.0013,             5.3862e-05,             5.3862e-05,             5.3862e-05
                    138,                0.66331,                  0.397,                0.92592,                0.79952,                0.76232,                0.80723,                0.64571,                0.79812,                 0.6675,                 1.0014,             5.0391e-05,             5.0391e-05,             5.0391e-05
                    139,                0.66104,                0.39886,                0.92726,                0.77936,                0.78184,                0.80834,                0.64669,                0.79919,                0.66893,                 1.0016,             4.6919e-05,             4.6919e-05,             4.6919e-05
                    140,                0.65677,                0.39535,                0.92719,                0.78352,                0.77519,                0.80738,                0.64526,                 0.7982,                 0.6698,                 1.0011,             4.3448e-05,             4.3448e-05,             4.3448e-05
                    141,                0.65782,                0.39735,                0.92764,                0.81553,                0.75065,                0.80687,                0.64528,                0.79783,                0.67069,                  1.001,             3.9976e-05,             3.9976e-05,             3.9976e-05
                    142,                  0.656,                0.39409,                0.92825,                0.81025,                0.75942,                0.80675,                0.64612,                0.79776,                0.67138,                 1.0009,             3.6504e-05,             3.6504e-05,             3.6504e-05
                    143,                0.65317,                 0.3925,                0.92666,                 0.8096,                0.76007,                0.80448,                0.64453,                0.79819,                0.67251,                 1.0011,             3.3033e-05,             3.3033e-05,             3.3033e-05
                    144,                0.65099,                0.39234,                0.92688,                0.80459,                0.76981,                0.80655,                0.64503,                0.79863,                0.67073,                 1.0011,             2.9561e-05,             2.9561e-05,             2.9561e-05
                    145,                0.65046,                0.39025,                0.92239,                0.80465,                0.77031,                0.80588,                0.64526,                0.79944,                0.67292,                 1.0016,              2.609e-05,              2.609e-05,              2.609e-05
                    146,                0.65262,                0.38979,                0.92665,                0.80928,                0.76808,                  0.805,                0.64551,                0.79996,                0.67409,                  1.002,             2.2618e-05,             2.2618e-05,             2.2618e-05
                    147,                0.64844,                0.38606,                0.92348,                0.81054,                 0.7651,                0.80388,                0.64457,                0.79983,                0.67508,                 1.0018,             1.9146e-05,             1.9146e-05,             1.9146e-05
                    148,                0.64874,                0.38851,                 0.9234,                 0.8131,                0.76339,                0.80513,                0.64559,                0.80008,                0.67583,                  1.002,             1.5675e-05,             1.5675e-05,             1.5675e-05
                    149,                0.64487,                0.38351,                0.92185,                0.81678,                0.76057,                0.80455,                0.64502,                0.79985,                0.67574,                  1.002,             1.2203e-05,             1.2203e-05,             1.2203e-05
                    150,                0.64697,                0.38776,                0.92534,                 0.8142,                0.76058,                0.80482,                 0.6455,                0.79983,                0.67618,                  1.002,             8.7316e-06,             8.7316e-06,             8.7316e-06
