                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                0.86699,                0.64485,                 1.0131,                0.70333,                0.70967,                0.72894,                0.56145,                0.87183,                0.72335,                 1.0264,             7.8164e-05,             7.8164e-05,             7.8164e-05
                    131,                0.86416,                0.64251,                  1.015,                0.67389,                0.72892,                0.73171,                0.56313,                0.87475,                0.71987,                 1.0288,             7.4692e-05,             7.4692e-05,             7.4692e-05
                    132,                0.86783,                0.64213,                 1.0103,                0.69616,                0.69622,                  0.726,                0.55878,                0.87535,                 0.7243,                 1.0275,              7.122e-05,              7.122e-05,              7.122e-05
                    133,                0.86856,                0.64452,                  1.007,                0.73978,                0.67686,                0.73197,                0.56217,                0.87796,                0.72563,                 1.0285,             6.7749e-05,             6.7749e-05,             6.7749e-05
                    134,                0.86855,                0.63652,                 1.0136,                0.66602,                0.72255,                0.73083,                0.56286,                0.87358,                0.72551,                 1.0267,             6.4277e-05,             6.4277e-05,             6.4277e-05
                    135,                0.86427,                0.63499,                 1.0067,                0.67251,                0.71362,                0.72915,                0.56112,                0.87211,                0.72205,                 1.0267,             6.0806e-05,             6.0806e-05,             6.0806e-05
                    136,                0.86211,                0.63619,                 1.0101,                0.75946,                0.68175,                0.72233,                0.55717,                0.87391,                0.72205,                 1.0282,             5.7334e-05,             5.7334e-05,             5.7334e-05
                    137,                0.86341,                0.63223,                 1.0123,                0.67568,                0.70683,                 0.7294,                  0.561,                0.87035,                0.72055,                 1.0267,             5.3862e-05,             5.3862e-05,             5.3862e-05
                    138,                0.86312,                0.63601,                 1.0071,                0.67736,                0.71001,                0.73086,                0.56216,                0.87658,                0.72037,                 1.0283,             5.0391e-05,             5.0391e-05,             5.0391e-05
                    139,                0.85916,                0.63253,                 1.0044,                0.68603,                 0.7056,                 0.7311,                0.56131,                0.87322,                0.72185,                 1.0263,             4.6919e-05,             4.6919e-05,             4.6919e-05
                    140,                0.85744,                0.62829,                 1.0071,                0.65355,                0.72781,                0.73151,                0.56446,                0.87557,                0.72098,                 1.0276,             4.3448e-05,             4.3448e-05,             4.3448e-05
                    141,                0.85908,                0.62973,                 1.0082,                0.72935,                 0.6781,                0.73288,                0.56362,                0.87163,                0.72151,                 1.0259,             3.9976e-05,             3.9976e-05,             3.9976e-05
                    142,                0.85015,                0.62305,                 1.0058,                0.66256,                0.71717,                0.73246,                 0.5627,                0.87528,                0.72169,                 1.0278,             3.6504e-05,             3.6504e-05,             3.6504e-05
                    143,                0.85514,                0.62704,                 1.0073,                0.64458,                0.73027,                0.72952,                0.56172,                 0.8705,                 0.7197,                 1.0257,             3.3033e-05,             3.3033e-05,             3.3033e-05
                    144,                0.85239,                0.62786,                 1.0072,                0.63934,                0.72245,                0.72796,                0.56117,                 0.8671,                  0.724,                 1.0238,             2.9561e-05,             2.9561e-05,             2.9561e-05
                    145,                0.85382,                 0.6246,                 1.0055,                0.74389,                0.66902,                0.72922,                0.56261,                0.86977,                0.72302,                 1.0253,              2.609e-05,              2.609e-05,              2.609e-05
                    146,                0.85632,                0.62552,                 1.0071,                0.65491,                0.74072,                0.73356,                0.56755,                0.86668,                0.71994,                 1.0237,             2.2618e-05,             2.2618e-05,             2.2618e-05
                    147,                0.85182,                0.62302,                 1.0041,                0.72208,                0.70732,                0.73488,                 0.5638,                0.87281,                0.71989,                 1.0261,             1.9146e-05,             1.9146e-05,             1.9146e-05
                    148,                0.85156,                0.62266,                 1.0048,                0.68939,                0.72106,                0.73419,                0.56614,                0.86994,                0.71925,                 1.0245,             1.5675e-05,             1.5675e-05,             1.5675e-05
                    149,                 0.8483,                0.62012,                 1.0044,                0.67728,                0.71786,                0.73533,                0.56674,                0.86911,                0.71922,                  1.024,             1.2203e-05,             1.2203e-05,             1.2203e-05
