                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    138,                0.61698,                0.35876,                0.90823,                0.80232,                0.79162,                0.81307,                0.65833,                0.78757,                0.66888,                0.99572,             5.0391e-05,             5.0391e-05,             5.0391e-05
                    139,                0.61524,                0.35629,                0.90681,                 0.8225,                0.77144,                0.81215,                0.65656,                0.78758,                0.66915,                0.99594,             4.6919e-05,             4.6919e-05,             4.6919e-05
                    140,                0.61073,                0.35524,                 0.9072,                0.82335,                0.77204,                0.81197,                0.65535,                 0.7874,                0.67136,                0.99592,             4.3448e-05,             4.3448e-05,             4.3448e-05
                    141,                0.60755,                0.35178,                0.90674,                0.82248,                0.77221,                0.81068,                0.65436,                0.78786,                0.67157,                0.99607,             3.9976e-05,             3.9976e-05,             3.9976e-05
                    142,                0.60471,                0.34787,                0.90811,                0.81651,                0.77045,                 0.8098,                0.65408,                 0.7882,                0.67144,                0.99604,             3.6504e-05,             3.6504e-05,             3.6504e-05
                    143,                0.60595,                0.35109,                0.90651,                0.80249,                0.77953,                0.80973,                0.65337,                0.78882,                0.67129,                0.99666,             3.3033e-05,             3.3033e-05,             3.3033e-05
                    144,                0.60644,                0.35129,                 0.9078,                0.81655,                0.77107,                0.80995,                0.65514,                0.78885,                0.67197,                0.99648,             2.9561e-05,             2.9561e-05,             2.9561e-05
                    145,                0.60289,                0.34882,                0.90587,                0.80937,                0.77757,                0.80943,                0.65572,                0.78894,                0.67282,                0.99663,              2.609e-05,              2.609e-05,              2.609e-05
                    146,                0.60314,                0.34903,                0.90588,                0.79867,                0.78532,                0.80975,                0.65661,                0.78887,                0.67411,                0.99696,             2.2618e-05,             2.2618e-05,             2.2618e-05
                    147,                0.60201,                0.34853,                0.90524,                0.80153,                0.78549,                0.81071,                0.65671,                0.78959,                0.67371,                 0.9971,             1.9146e-05,             1.9146e-05,             1.9146e-05
                    148,                0.59999,                0.34657,                0.90374,                0.80277,                0.78774,                0.81178,                0.65645,                0.78996,                0.67362,                0.99719,             1.5675e-05,             1.5675e-05,             1.5675e-05
                    149,                0.59642,                0.34512,                0.90354,                0.80446,                0.78622,                0.81214,                0.65648,                0.78994,                0.67378,                0.99701,             1.2203e-05,             1.2203e-05,             1.2203e-05
                    150,                0.60027,                0.34751,                0.90486,                 0.8048,                0.78579,                0.81212,                0.65705,                0.79065,                0.67421,                0.99696,             8.7316e-06,             8.7316e-06,             8.7316e-06
