                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 0.7868,                0.53816,                0.98659,                0.73335,                0.77681,                0.79381,                0.62978,                 0.8221,                0.63632,                 1.0048,             0.00027952,             0.00027952,             0.00027952
                     73,                0.78962,                0.54104,                0.97956,                0.74883,                0.76929,                0.79247,                0.62817,                 0.8228,                0.64481,                  1.005,             0.00027604,             0.00027604,             0.00027604
                     74,                 0.7843,                0.53758,                0.98099,                0.76484,                0.75986,                0.79461,                0.63105,                0.81297,                0.64337,                 1.0009,             0.00027257,             0.00027257,             0.00027257
                     75,                0.77966,                0.53142,                0.98092,                0.75825,                0.75939,                0.79251,                0.62918,                0.82348,                0.64346,                 1.0054,              0.0002691,              0.0002691,              0.0002691
                     76,                0.78075,                0.53061,                0.97833,                0.79528,                0.74629,                0.78908,                0.62824,                0.81356,                0.64111,                 1.0023,             0.00026563,             0.00026563,             0.00026563
                     77,                0.78225,                0.52204,                0.98105,                0.76006,                0.76133,                0.79477,                0.63065,                0.82205,                0.63273,                  1.006,             0.00026216,             0.00026216,             0.00026216
                     78,                0.77818,                 0.5207,                0.97256,                0.73906,                 0.7898,                0.80289,                0.63988,                0.81205,                0.63294,                0.99911,             0.00025869,             0.00025869,             0.00025869
                     79,                0.77378,                0.52368,                 0.9758,                0.75668,                0.78212,                0.80649,                0.63703,                0.82279,                0.63086,                 1.0039,             0.00025522,             0.00025522,             0.00025522
                     80,                0.77543,                0.51984,                0.97643,                0.76952,                0.77235,                0.79641,                0.63349,                0.81202,                0.62914,                 0.9989,             0.00025174,             0.00025174,             0.00025174
                     81,                0.76809,                0.51304,                 0.9725,                0.73772,                0.77696,                0.79601,                0.63668,                0.81004,                0.62832,                0.99876,             0.00024827,             0.00024827,             0.00024827
                     82,                0.76386,                0.50519,                0.97481,                0.75689,                 0.7784,                0.80438,                0.64378,                 0.8162,                0.63309,                 1.0004,              0.0002448,              0.0002448,              0.0002448
